fName,date,name,title,nWordsReport,nWordsCalc,distinctWords
Indobit-A-NYT1984_501-1000-370.txt,"july 23, 1984","Correction Appended Stewart Wilensky Dies at 57","Correction Appended Stewart Wilensky Dies at 57",140,164,109
Indobit-A-NYT1987 - April 1 - June 30-265.txt,"may 30, 1987",CHARAN SINGH DIES AT AGE 85,CHARAN SINGH DIES AT AGE 85; INDIA'S FIFTH PRIME MINISTER,570,645,308
Indobit-A-NYT1981 - Oct 1 - Dec 31-434.txt,"december 30, 1981",Robert M. Ellis Is Dead at 80,Robert M. Ellis Is Dead at 80; Career Officer in British Navy,130,137,83
Indobit-A-NYT1982_1501-1630-48.txt,"december 16, 1982",ALAN J. FREEDMAN DEAD AT 59,ALAN J. FREEDMAN DEAD AT 59; A NEW YORK CULTURAL LEADER,686,723,337
Indobit-A-NYT1983 - April 1 - June 30-158.txt,"may 5, 1983",Douglas Hudson Dead at 77,Douglas Hudson Dead at 77; Ex-State Senator in New York,142,158,85
Indobit-A-NYT1980_1-500-54.txt,"june 16, 1980",CARDINAL PIGNEDOLI DIES IN ITALY AT 70,CARDINAL PIGNEDOLI DIES IN ITALY AT 70: DIPLOMAT WAS A LEADING CONTENDOR,556,461,252
Indobit-A-NYT1985 - Oct 1 - Dec 31-150.txt,"november 3, 1985",LIFE OF ORSON WELLES AND HIS WORK CITED AS 500 MOURN LOSS,LIFE OF ORSON WELLES AND HIS WORK CITED AS 500 MOURN LOSS,389,485,262
Indobit-A-NYT1982_1001-1500-241.txt,"october 16, 1982",VILMA HARRINGTON DIES AT 69,VILMA HARRINGTON DIES AT 69; COMMUNITY CHURCH MINISTER,315,332,169
Indobit-A-NYT1984_1-500-192.txt,"february 14, 1984",John R. Newell Is Dead at 71,John R. Newell Is Dead at 71; President of Bath Iron Works,191,231,131
Indobit-A-NYT1981 - July 1 - Sep 30-173.txt,"august 7, 1981",RAY C. BLISS DIES IN OHIO AT 73,"RAY C. BLISS DIES IN OHIO AT 73, REBUILT G.O.P. AFTER 1964 ROUT",1021,1119,545
Indobit-A-NYT1984_1001-1500-478.txt,"december 13, 1984",KRAFFT A. EHRICKE DIES AT 67,KRAFFT A. EHRICKE DIES AT 67; ROCKET PIONEER AND PHYSICIST,762,823,401
Indobit-A-NYT1986_501-1000-272.txt,"october 28, 1986",Richard Woodruff Dies at 54,Richard Woodruff Dies at 54; Model for 'Big Boy' Statues,111,136,93
Indobit-A-NYT1982_1001-1500-399.txt,"november 18, 1982",William H. Wisely Dead at 76,William H. Wisely Dead at 76; Led Society of Civil Engineers,181,182,102
Indobit-A-NYT1986_501-1000-411.txt,"november 26, 1986",LOWELL K. BRIDWELL DIES AT 62,LOWELL K. BRIDWELL DIES AT 62; HEADED PLANNING OF WESTWAY,437,467,237
Indobit-A-NYT1985 - April 1 - June 30-169.txt,"may 9, 1985",Founder of NASA Unit In California Dies at 89,Founder of NASA Unit In California Dies at 89,156,196,117
Indobit-A-NYT1985 - Oct 1 - Dec 31-141.txt,"october 31, 1985",Kirby Grant Is Dead at 73,Kirby Grant Is Dead at 73; TV Star of 'Sky King' in 50's,169,204,122
Indobit-A-NYT1981 - April 1 - June 30-410.txt,"june 18, 1981",DR. JULE G. CHARNEY IS DEAD AT 64,DR. JULE G. CHARNEY IS DEAD AT 64; WORLDWIDE LEADER IN METEOROLOGY,616,581,300
Indobit-A-NYT1983 - Oct 1 - Dec 31-27.txt,"october 5, 1983",,,179,207,130
Indobit-A-NYT1984_501-1000-173.txt,"june 3, 1984",SILVIO J. MOLLO IS DEAD AT 74,SILVIO J. MOLLO IS DEAD AT 74; LONGTIME PROSECUTOR IN CITY,470,511,249
Indobit-A-NYT1986_1-500-350.txt,"march 25, 1986",Harriette Arnow Dies at 78,Harriette Arnow Dies at 78; Author of 'The Dollmaker',168,217,132
Indobit-A-NYT1985 - Jan 1 - March 31-50.txt,"january 10, 1985",CHARLES E. HUGHES 3D DEAD,CHARLES E. HUGHES 3D DEAD; LEADER IN BANK ARCHITECTURE,418,468,248
Indobit-A-NYT1985 - Oct 1 - Dec 31-271.txt,"december 1, 1985",IRVING M. SELIS IS DEAD AT 79,IRVING M. SELIS IS DEAD AT 79; FOUNDER OF ASSOCIATED BLIND,332,369,193
Indobit-A-NYT1984_1-500-280.txt,"march 3, 1984","Correction Appended ROLAND CULVER IS DEAD AT 83","Correction Appended ROLAND CULVER IS DEAD AT 83; A CHARACTER ACTOR 55 YEARS",325,390,212
Indobit-A-NYT1981 - April 1 - June 30-275.txt,"may 24, 1981",David Lewis Dead at 71,David Lewis Dead at 71; Key Socialist in Canada,107,127,79
Indobit-A-NYT1983 - Jan 1 - March 31-244.txt,"february 16, 1983",Francis McGowan Dies at 80,Francis McGowan Dies at 80; A Former State Assemblyman,168,194,107
Indobit-A-NYT1983 - Jan 1 - March 31-385.txt,"march 18, 1983",Jean Miller Spadea Dies at 79,Jean Miller Spadea Dies at 79; Fashion Illustrator in the City,164,196,113
Indobit-A-NYT1981 - Jan 1 - March 31-375.txt,"march 20, 1981",Jesse R. Liscomb Is Dead at 72,Jesse R. Liscomb Is Dead at 72; Coached 3 Olympians in Track,119,130,84
Indobit-A-NYT1981 - July 1 - Sep 30-401.txt,"september 24, 1981",ROSE LITMAN IS DEAD AT 49,ROSE LITMAN IS DEAD AT 49; RESEARCH AID E AT COLORADO U.,191,202,103
Indobit-A-NYT1984_1001-1500-152.txt,"october 2, 1984",WALTER ALSTON IS DEAD AT 72,WALTER ALSTON IS DEAD AT 72; DODGERS' MANAGER 23 YEARS,1167,977,465
Indobit-A-NYT1984_501-1000-217.txt,"june 15, 1984",Gurdon F. Flagg Dies at 83,Gurdon F. Flagg Dies at 83; Developed the Duquesne Club,189,210,134
Indobit-A-NYT1981 - Oct 1 - Dec 31-155.txt,"october 29, 1981",Everett E. Elting Dead at 79,Everett E. Elting Dead at 79; A Former Hosiery Executive,162,163,99
Indobit-A-NYT1981 - Jan 1 - March 31-298.txt,"march 4, 1981",CHARLES E. BROWN 3D,CHARLES E. BROWN 3D,142,150,94
Indobit-A-NYT1987 - April 1 - June 30-262.txt,"may 29, 1987",Gilbert B. Phillips Dies at 77,Gilbert B. Phillips Dies at 77; Headed New York Auto Club,172,188,118
Indobit-A-NYT1985 - April 1 - June 30-271.txt,"june 8, 1985",Stephen Draper Dead at 79,Stephen Draper Dead at 79; Theatrical Agent For 40 Years,137,171,103
Indobit-A-NYT1984_1001-1500-116.txt,"september 23, 1984",RearAdm.BruceBradley,"RearAdm.BruceBradley,81; Former Navy Medical Officer",134,160,97
Indobit-A-NYT1984_501-1000-448.txt,"august 11, 1984",Richard Deacon Dead at 62,Richard Deacon Dead at 62;A Comic Film and TV Actor,130,148,103
Indobit-A-NYT1981 - Jan 1 - March 31-307.txt,"march 5, 1981",James E. Madden Is Dead at 54,James E. Madden Is Dead at 54; A Banker and an Insurance Aide,185,205,125
Indobit-A-NYT1981 - July 1 - Sep 30-228.txt,"august 18, 1981",ARTHUR W. KEYLOR DIES AT 61,ARTHUR W. KEYLOR DIES AT 61; FORMER TIME INC. EXECUTIVE,482,485,240
Indobit-A-NYT1983 - Oct 1 - Dec 31-124.txt,"october 26, 1983",,,167,202,116
Indobit-A-NYT1983 - Oct 1 - Dec 31-32.txt,"october 6, 1983",MARTIN F. HERZ IS DEAD AT 66,MARTIN F. HERZ IS DEAD AT 66; EDUCATOR AND FORMER ENVOY,406,458,245
Indobit-A-NYT1980_1-500-406.txt,"september 12, 1980",Max R. Morgenthaler Dies at 80,Max R. Morgenthaler Dies at 80; Swiss Developed Nescafe Coffee,123,130,89
Indobit-A-NYT1980_1-500-342.txt,"august 26, 1980",William Carver Alden Dies at 48,William Carver Alden Dies at 48; A Williams College Staff Member,238,267,129
Indobit-A-NYT1980_501-904-41.txt,"october 21, 1980",GEORG GOUBAU 67,"GEORG GOUBAU 67,WHO INVENTED A NEW TV TRANSMISSION METHOD",332,341,182
Indobit-A-NYT1986_1-500-249.txt,"february 26, 1986",Eckhard H. Hess Dead at 69,Eckhard H. Hess Dead at 69; Behavioral Science Authority,214,240,131
Indobit-A-NYT1986_1001-1500-147.txt,"june 4, 1986",RUDOLF SONNEBORN DIES AT 87,RUDOLF SONNEBORN DIES AT 87; A ZIONIST LEADER IN THE U.S.,551,590,287
Indobit-A-NYT1984_1-500-349.txt,"march 17, 1984",,,232,263,162
Indobit-A-NYT1981 - April 1 - June 30-375.txt,"june 11, 1981",JAMES RALSTON SCOBIE DIES AT 51,JAMES RALSTON SCOBIE DIES AT 51; PROFESSOR OF HISTORY AT CALIFORNIA,167,179,102
Indobit-A-NYT1984_1-500-316.txt,"march 10, 1984",,,289,322,163
Indobit-A-NYT1984_1-500-386.txt,"march 28, 1984",GUINEA,"GUINEA'S PRESIDENT, SEKOU TOURE, DIES IN CLEVELAND CLINIC",1253,1367,631
Indobit-A-NYT1982_1001-1500-171.txt,"september 30, 1982",William Bowen Is Dead at 70,William Bowen Is Dead at 70; Sang With Original Ink Spots,103,117,71
Indobit-A-NYT1984_1-500-152.txt,"february 3, 1984",DAVID C. NOYES 3D,DAVID C. NOYES 3D,146,183,97
Indobit-A-NYT1981 - Jan 1 - March 31-214.txt,"february 14, 1981",,,268,300,167
Indobit-A-NYT1983 - Jan 1 - March 31-172.txt,"january 31, 1983",John R. Bingham Dead at 82,John R. Bingham Dead at 82; Pioneer in Film Distribution,174,202,116
Indobit-A-NYT1984_501-1000-77.txt,"may 13, 1984",,,200,243,137
Indobit-A-NYT1981 - Oct 1 - Dec 31-361.txt,"december 13, 1981",EDGAR F. KAISER DIES AT AGE 73,EDGAR F. KAISER DIES AT AGE 73; HEADED VAST FAMILY CORPORATION,815,860,400
Indobit-A-NYT1980_501-904-33.txt,"october 20, 1980",L.L.ENGELKING,"L.L.ENGELKING,EX CITY EDITOR OF HERALD TRIBUNE,IS DEAD AT 77",840,939,452
Indobit-A-NYT1981 - April 1 - June 30-101.txt,"april 20, 1981",MARY S. INGRAHAM IS DEAD AT 94,MARY S. INGRAHAM IS DEAD AT 94; HELPED GUIDE CREATION OF CITY U.,431,459,242
Indobit-A-NYT1984_501-1000-203.txt,"june 12, 1984",,,217,249,136
Indobit-A-NYT1985 - Jan 1 - March 31-127.txt,"january 27, 1985",LORD HARLECH IS DEAD AT 66,LORD HARLECH IS DEAD AT 66; AMBASSADOR TO U.S. IN 1960'S,551,622,299
Indobit-A-NYT1986_1-500-201.txt,"february 15, 1986",CLINTON WILDER IS DEAD AT 65,CLINTON WILDER IS DEAD AT 65; HELPED DEVELOP PLAYWRIGHTS,299,350,189
Indobit-A-NYT1982_1-500-189.txt,"february 8, 1982",HENRY S. MORGAN IS DEAD AT 81,HENRY S. MORGAN IS DEAD AT 81; MEMBER OF THE BANKING FAMILY,863,935,409
Indobit-A-NYT1985 - April 1 - June 30-285.txt,"june 12, 1985",Hu Feng Is Dead at 83,Hu Feng Is Dead at 83; Chinese Literary Critic,307,364,202
Indobit-A-NYT1984_501-1000-401.txt,"july 30, 1984",Joel W. Solomon Dies at 62,Joel W. Solomon Dies at 62; Carter Administration Official,204,221,133
Indobit-A-NYT1983 - Jan 1 - March 31-67.txt,"january 12, 1983",Walter E. Cooke Is Dead at 72,Walter E. Cooke Is Dead at 72; Ex-Assemblyman and Senator,165,199,105
Indobit-A-NYT1981 - Jan 1 - March 31-4.txt,"january 2, 1981",Herschel F. Clesner Dead at 57,Herschel F. Clesner Dead at 57; Former Counsel to House Panel,154,162,101
Indobit-A-NYT1986_501-1000-370.txt,"november 17, 1986",William B. Meyer Dies at 61,William B. Meyer Dies at 61; Headed Real Estate Concern,211,260,147
Indobit-A-NYT1986_501-1000-220.txt,"october 17, 1986",ROBERT D. LILLEY IS DEAD AT 74,ROBERT D. LILLEY IS DEAD AT 74; FORMER PRESIDENT OF A.T.&T,482,518,253
Indobit-A-NYT1987 - April 1 - June 30-369.txt,"june 19, 1987",SAMUEL GIBBON DEAD AT 82,SAMUEL GIBBON DEAD AT 82; EX-BANKER AND MANUFACTURER,172,199,121
Indobit-A-NYT1983 - July 1 - Sep 30-269.txt,"september 1, 1983",,,176,215,124
Indobit-A-NYT1982_501-1000-473.txt,"august 14, 1982",Bartolome Mitre Dies at 73,Bartolome Mitre Dies at 73; Argentine Newspaper Editor,115,132,82
Indobit-A-NYT1983 - July 1 - Sep 30-209.txt,"august 19, 1983",James Warwick Is Dead at 89,James Warwick Is Dead at 89; Playwright and Screen Writer,157,190,108
Indobit-A-NYT1984_501-1000-244.txt,"june 21, 1984",Dr. Felix Taubman Dies at 68,Dr. Felix Taubman Dies at 68; Former Director at St. John's,121,135,72
Indobit-A-NYT1984_1-500-315.txt,"march 10, 1984",,,246,281,139
Indobit-A-NYT1984_1001-1500-305.txt,"november 4, 1984",RICHARD SMITH BEAL DIES AT 38,RICHARD SMITH BEAL DIES AT 38,323,346,187
Indobit-A-NYT1985 - Oct 1 - Dec 31-191.txt,"november 14, 1985",VASILY GARBUZOV DEAD AT 74,VASILY GARBUZOV DEAD AT 74; LONG SOVIET FINANCE MINISTER,345,392,192
Indobit-A-NYT1980_1-500-442.txt,"september 22, 1980",A. HOLLY PATTERSON IS DEAD AT 82,A. HOLLY PATTERSON IS DEAD AT 82; L.I.'S MR. REPUBLICAN FOR MANY,798,862,407
Indobit-A-NYT1984_1-500-30.txt,"january 9, 1984",Eva Samano Is Dead at 71,Eva Samano Is Dead at 71; Former First Lady of Mexico,133,152,98
Indobit-A-NYT1987 - April 1 - June 30-149.txt,"may 5, 1987",HELEN M. STRAUSS DIES AT 83,HELEN M. STRAUSS DIES AT 83; AGENT FOR MANY TOP WRITERS,542,624,323
Indobit-A-NYT1984_1-500-123.txt,"january 27, 1984",Roger B. Corbett Dead at 83,Roger B. Corbett Dead at 83; New Mexico University Head,195,211,120
Indobit-A-NYT1981 - Oct 1 - Dec 31-328.txt,"december 7, 1981",Robert Lukowsky Dies at 54,Robert Lukowsky Dies at 54; Kentucky High Court Justice,102,102,80
Indobit-A-NYT1982_1-500-87.txt,"january 18, 1982",WILLIAM CONNER 3D,"WILLIAM CONNER 3D, 59 DIES; FORMER NEWSPAPER PUBLISHER",105,121,76
Indobit-A-NYT1984_1001-1500-378.txt,"november 21, 1984",TRYGVE BRATTELI IS DEAD AT 74,TRYGVE BRATTELI IS DEAD AT 74;OSLO PRIME MINISTER IN 1970'S,174,196,111
Indobit-A-NYT1986_1001-1500-194.txt,"june 17, 1986",WALTER V. SCHAEFER DIES AT 81,WALTER V. SCHAEFER DIES AT 81; WON ACCLAIM AS ILLINOIS JUDGE,465,537,280
Indobit-A-NYT1984_1-500-446.txt,"april 11, 1984",Dudey Moore Is Dead at 74,Dudey Moore Is Dead at 74;Coached 1955 N.I.T. Winner,159,200,117
Indobit-A-NYT1987 - April 1 - June 30-43.txt,"april 11, 1987",Horst Dassler Is Dead at 51,Horst Dassler Is Dead at 51; Led Adidas Sporting Goods,110,134,82
Indobit-A-NYT1987 - April 1 - June 30-286.txt,"june 3, 1987",T. D. Edwards Is Dead at 55,T. D. Edwards Is Dead at 55; A Former Federal Prosecutor,195,235,128
Indobit-A-NYT1987 - April 1 - June 30-1.txt,"april 1, 1987",C.W. MURCHISON JR. DIES IN TEXAS AT 63,C.W. MURCHISON JR. DIES IN TEXAS AT 63,723,799,399
Indobit-A-NYT1984_501-1000-498.txt,"august 23, 1984",Arthur Sim Myers Dies at 55,Arthur Sim Myers Dies at 55;Award-Winning Music Critic,178,204,122
Indobit-A-NYT1984_1-500-314.txt,"march 10, 1984",,,211,226,123
Indobit-A-NYT1982_1-500-37.txt,"january 9, 1982",Robert A. Dreyer Dead at 65,Robert A. Dreyer Dead at 65; Former Metromedia Counsel,143,159,96
Indobit-A-NYT1984_501-1000-264.txt,"june 25, 1984",JSE,JSE,260,148,81
Indobit-A-NYT1982_1-500-225.txt,"february 15, 1982",Shimura,"Shimura, 76, Actor In Films by Kurosawa",173,183,108
Indobit-A-NYT1981 - Oct 1 - Dec 31-371.txt,"december 16, 1981",FYODOROVA,"FYODOROVA, FILM STAR, IS SLAIN",294,321,171
Indobit-A-NYT1981 - July 1 - Sep 30-73.txt,"july 17, 1981",Arthur M. Bartley Dies at 89,Arthur M. Bartley Dies at 89; A Game-Bird Conservationist,136,144,91
Indobit-A-NYT1985 - July 1 - Sep 30-381.txt,"september 17, 1985",Robert Baker Is Dead at 48,Robert Baker Is Dead at 48; A Talent Agent and Director,160,184,123
Indobit-A-NYT1983 - Oct 1 - Dec 31-142.txt,"october 29, 1983",Sidney Marcus Is Dead at 55,Sidney Marcus Is Dead at 55; Leader in Georgia Legislature,165,192,110
Indobit-A-NYT1984_501-1000-42.txt,"may 4, 1984",,,177,193,115
Indobit-A-NYT1981 - Jan 1 - March 31-68.txt,"january 13, 1981",,,230,265,154
Indobit-A-NYT1984_1-500-269.txt,"february 29, 1984",,,205,244,131
Indobit-A-NYT1986_501-1000-28.txt,"september 1, 1986",TUGGLE,"TUGGLE, EX-GIANT, DIES OF CANCER AT 25",457,550,284
Indobit-A-NYT1984_1-500-87.txt,"january 20, 1984",Albert Halper Is Dead at 79,Albert Halper Is Dead at 79; Was Novelist and Playwright,164,205,117
Indobit-A-NYT1985 - Jan 1 - March 31-90.txt,"january 20, 1985",SIR ROBERT MAYER IS DEAD AT 105,SIR ROBERT MAYER IS DEAD AT 105; PATRON OF BRITISH YOUTH CONCERTS,560,644,329
Indobit-A-NYT1982_501-1000-447.txt,"august 9, 1982",SAMUEL M. KOOTZ DEAD AT 83,SAMUEL M. KOOTZ DEAD AT 83; AN ACTIVIST FOR AMERICAN ART,963,554,293
Indobit-A-NYT1985 - April 1 - June 30-135.txt,"may 2, 1985",Harrison Chandler Dies at 82,Harrison Chandler Dies at 82; Scion of Publishing Dynasty,117,137,90
Indobit-A-NYT1983 - Jan 1 - March 31-72.txt,"january 13, 1983",NIKOLAI V. PODGORNY DEAD AT 79,NIKOLAI V. PODGORNY DEAD AT 79; WAS SOVIET PRESIDENT FOR 12 YEARS,1044,1167,518
Indobit-A-NYT1983 - July 1 - Sep 30-231.txt,"august 23, 1983",,,152,177,101
Indobit-A-NYT1985 - July 1 - Sep 30-29.txt,"july 6, 1985",George Oldfield Is Dead at 61,George Oldfield Is Dead at 61; Hunted the 'Yorkshire Ripper',153,172,103
Indobit-A-NYT1981 - April 1 - June 30-137.txt,"april 26, 1981",Charles H. Spilman Is Dead at 70,"Charles H. Spilman Is Dead at 70; Ex-Editor of Providence Journal",160,176,101
Indobit-A-NYT1981 - Jan 1 - March 31-109.txt,"january 22, 1981",Arthur Robert Burns Dies at 85,Arthur Robert Burns Dies at 85; Economics Teacher at Columbia,130,136,84
Indobit-A-NYT1986_1501-1568-34.txt,"december 30, 1986",HAROLD MACMILLAN DIES AT 92,HAROLD MACMILLAN DIES AT 92; WAS PRIME MINISTER OF BRITAIN,2374,2729,1067
Indobit-A-NYT1986_1-500-191.txt,"february 14, 1986",Sidney Stone Is Dead at 83,Sidney Stone Is Dead at 83; Announcer on Berle TV Show,133,166,97
Indobit-A-NYT1981 - Oct 1 - Dec 31-130.txt,"october 24, 1981",Frances Taussig Dead at 98,Frances Taussig Dead at 98; Leading Jewish Social Worker,173,174,86
Indobit-A-NYT1985 - Jan 1 - March 31-240.txt,"february 23, 1985",T. H. Neyland Is Dead at 62,T. H. Neyland Is Dead at 62; Director at Gulf and Western,177,210,115
Indobit-A-NYT1983 - July 1 - Sep 30-367.txt,"september 24, 1983",,>TO> -Connecticut Legislator,169,192,99
Indobit-A-NYT1984_501-1000-444.txt,"august 10, 1984",Roland Kibbee Is Dead at 70,Roland Kibbee Is Dead at 70; Won Three Emmys for Writing,134,168,107
Indobit-A-NYT1983 - July 1 - Sep 30-220.txt,"august 20, 1983",NIKOLAUS PEVSNER DEAD AT 81,NIKOLAUS PEVSNER DEAD AT 81; EUROPEAN ARCHITECTURE CRITIC,924,1036,470
Indobit-A-NYT1981 - July 1 - Sep 30-388.txt,"september 21, 1981",FELIA DOUBROVSKA DIES AT 85,FELIA DOUBROVSKA DIES AT 85; BALLERINA AND NOTED TEACHER,742,770,394
Indobit-A-NYT1984_1001-1500-77.txt,"september 13, 1984",JOHN E. ALLEN 3D,JOHN E. ALLEN 3D,113,123,79
Indobit-A-NYT1985 - Oct 1 - Dec 31-134.txt,"october 30, 1985",DeWitt John Is Dead at 70,DeWitt John Is Dead at 70; Ex-Christian Science Editor,135,158,93
Indobit-A-NYT1984_1-500-311.txt,"march 9, 1984",,,217,235,114
Indobit-A-NYT1980_501-904-237.txt,"december 1, 1980",Paul W. Connelly 3d,"Paul W. Connelly 3d, an Executive Of Investment Banking Concern",146,157,96
Indobit-A-NYT1985 - Oct 1 - Dec 31-347.txt,"december 17, 1985",SIR SEEWOOSAGUR RAMGOOLAM OF MAURITIUS IS DEAD AT 85,SIR SEEWOOSAGUR RAMGOOLAM OF MAURITIUS IS DEAD AT 85,388,405,231
Indobit-A-NYT1987 - July 1 - Aug 31-112.txt,"july 23, 1987",JACK LESCOULIE IS DEAD AT 75,JACK LESCOULIE IS DEAD AT 75; LONGTIME CO-HOST OF 'TODAY',434,216,130
Indobit-A-NYT1982_1001-1500-5.txt,"august 21, 1982",Jack ,Jack (Cactus Jack) Curtice; Was College Football Coach,134,160,97
Indobit-A-NYT1983 - July 1 - Sep 30-134.txt,"august 2, 1983",JOSEPH NEWMARK DEAD AT 82,JOSEPH NEWMARK DEAD AT 82,253,285,167
Indobit-A-NYT1981 - Jan 1 - March 31-179.txt,"february 7, 1981",FREDERIKA,"FREDERIKA, GREEK QUEEN MOTHER; IN MADRID HOSPITAL AS AN EXILE",1008,1054,501
Indobit-A-NYT1985 - Oct 1 - Dec 31-246.txt,"november 25, 1985",GEORGE HARDING 3D,GEORGE HARDING 3D,144,162,101
Indobit-A-NYT1986_501-1000-346.txt,"november 14, 1986",THIERRY LE LURON DIES AT 34,THIERRY LE LURON DIES AT 34; SATIRIST WAS HAILED IN FRANCE,371,432,235
Indobit-A-NYT1985 - Oct 1 - Dec 31-11.txt,"october 3, 1985",Barney Felix Is Dead at 78,Barney Felix Is Dead at 78; Referee at Clay-Liston Bout,129,160,101
Indobit-A-NYT1983 - April 1 - June 30-390.txt,"june 22, 1983",OWEN DODSON IS DEAD AT 68,OWEN DODSON IS DEAD AT 68; MAJOR FIGURE IN BLACK DRAMA,384,418,229
Indobit-A-NYT1985 - April 1 - June 30-101.txt,"april 25, 1985",5TH ARTIFICIAL HEART PATIENT DIES 10 DAYS AFTER IMPLANT,5TH ARTIFICIAL HEART PATIENT DIES 10 DAYS AFTER IMPLANT,295,341,174
Indobit-A-NYT1985 - Jan 1 - March 31-344.txt,"march 21, 1985",JOSE DE RIVERA IS DEAD AT 80,JOSE DE RIVERA IS DEAD AT 80; KNOWN FOR METAL SCULPTURES,391,435,242
Indobit-A-NYT1983 - July 1 - Sep 30-69.txt,"july 19, 1983",Calvin Fentress Jr. Dies at 75,Calvin Fentress Jr. Dies at 75; Led Allstate Insurance Co.,206,229,133
Indobit-A-NYT1981 - Oct 1 - Dec 31-66.txt,"october 13, 1981",Robert D. Herring Dies at 60,Robert D. Herring Dies at 60; Headed Houston Natural Gas,158,167,93
Indobit-A-NYT1983 - April 1 - June 30-244.txt,"may 22, 1983",William Henderson 3d,William Henderson 3d; Foreign-Affairs Expert,137,162,90
Indobit-A-NYT1986_1-500-54.txt,"january 10, 1986",A. S. Esfandiary Dies at 91,A. S. Esfandiary Dies at 91; A Longtime Iranian Diplomat,158,178,111
Indobit-A-NYT1984_501-1000-477.txt,"august 17, 1984",ROBERT A. COLLIER DIES AT 67,ROBERT A. COLLIER DIES AT 67; LEADING WASHINGTON LAWYER,451,495,241
Indobit-A-NYT1985 - July 1 - Sep 30-292.txt,"august 29, 1985",1,"1,000 JAM CHURCH IN GIRL'S MEMORY",462,549,291
Indobit-A-NYT1982_501-1000-480.txt,"august 16, 1982",,,248,269,154
Indobit-A-NYT1981 - April 1 - June 30-204.txt,"may 8, 1981",Galen Brand Dies at 63,Galen Brand Dies at 63; Designer and Ex-Editor,184,202,107
Indobit-A-NYT1983 - July 1 - Sep 30-79.txt,"july 21, 1983",Frederick B. Artz Dies at 88,Frederick B. Artz Dies at 88; Oberlin Historian and Author,214,225,130
Indobit-A-NYT1983 - April 1 - June 30-218.txt,"may 18, 1983",MARION DICKERMAN IS DEAD AT 93,MARION DICKERMAN IS DEAD AT 93; EDUCATOR AND A LABOR CONSULTANT,453,484,246
Indobit-A-NYT1983 - Oct 1 - Dec 31-22.txt,"october 4, 1983",,,162,184,105
Indobit-A-NYT1981 - July 1 - Sep 30-152.txt,"august 2, 1981","Correction Appended PADDY CHAYEFSKY DEAD AT 58","Correction Appended PADDY CHAYEFSKY DEAD AT 58; PLAYWRIGHT WON THREE OSCARS",1228,1406,637
Indobit-A-NYT1982_1501-1630-83.txt,"december 23, 1982",JAMES L. KILGALLEN DIES AT 94,JAMES L. KILGALLEN DIES AT 94; A REPORTER FOR OVER 75 YEARS,350,382,219
