sentence,clause
"Allan Shivers, who was Governor of Texas from 1949 to 1957, longer than any other chief executive of the state, died yesterday of a heart attack.", who was Governor of Texas from 1949 to 1957
"Warren Scripps Booth, former president, publisher and chairman of The Detroit News, died Sunday after a brief illness.", former president
"Doris Pfiester, who became famous as the ''Valentine Lady'' for re-mailing Valentines for thousands of people around the world, died at a hospital last weekend.", who became famous as the ''Valentine Lady'' for re-mailing Valentines for thousands of people around the world
"Thomas G. Corcoran, a prominent Washington lawyer and adviser in Franklin D. Roosevelt's Administration, died today at the Washington Hospital Center of a pulmonary blood clot after surgery.", a prominent Washington lawyer and adviser in Franklin D. Roosevelt's Administration
"Dr. Thomas R. Carver, a professor of physics at Princeton University, died of a heart attack last Saturday at his summer home in Maine.", a professor of physics at Princeton University
"William Tobey, sales promotion director of Abraham & Straus for 32 years until his retirement as a senior vice president in 1977, died in his sleep on Saturday at his home in Manhattan.", sales promotion director of Abraham & Straus for 32 years until his retirement as a senior vice president in 1977
"George L. Killion, a former president of the American President Lines shipping company and a leading figure in Democratic Party politics, died Sunday of cardiorespiratory arrest at the Stanford University Medical Center.", a former president of the American President Lines shipping company and a leading figure in Democratic Party politics
"Francis G. Kingsley, a business executive, died Friday at a nursing home in West Haven, Conn.", a business executive
"Roger Drackett, the former chairman and chief executive of the Drackett Company, a major manufacturer of household goods, died yesterday in Christ Hospital in Cincinnati at age 74.", the former chairman and chief executive of the Drackett Company
"Ernie Shore, who earned baseball fame by pitching a perfect game as a reliever in 1917, died last night.", who earned baseball fame by pitching a perfect game as a reliever in 1917
"The Rev. Lawrence L. Durgin, vice president for development at Tougaloo College in Mississippi and pastor emeritus of the Broadway Church of Christ in New York City, died Tuesday at Hines General Hospital in Jackson, Miss., after a long illness.", vice president for development at Tougaloo College in Mississippi and pastor emeritus of the Broadway Church of Christ in New York City
"Albert A. Granovsky, retired editor and publisher of Croton-Cortlandt News in Croton-on-Hudson, N.Y., died yesterday at White Plains Hospital.", retired editor and publisher of Croton-Cortlandt News in Croton-on-Hudson
"Lawrence W. Hager Sr., a publisher and broadcasting executive, died Christmas Day after a brief illness.", a publisher and broadcasting executive
"Stephen Tyno, who retired from The New York Times in 1980 after more than 40 years as an editor in the sports department, died yesterday at his home in Rye, N.Y., after a long illness.", who retired from The New York Times in 1980 after more than 40 years as an editor in the sports department
"Alberto Jimenez de Lucio, a United Nations official who was a former Minister of Industry and Commerce in his native Peru, died of a heart attack Sunday in Greenwich Hospital in Connecticut.", a United Nations official who was a former Minister of Industry and Commerce in his native Peru
"Robert S. Rozman, chief of the drug metabolism section of the Walter Reed Army Institute and an authority on drugs to prevent malaria, died of cancer Thursday at his home in Kensington, a Washington suburb.", chief of the drug metabolism section of the Walter Reed Army Institute and an authority on drugs to prevent malaria
"Jane Davison, a social historian and editor who frequently wrote about houses and architecture, died of cancer in Cambridge, Mass., on Saturday.", a social historian and editor who frequently wrote about houses and architecture
"Jess Larson, the first Administrator of the General Services Administration and former chairman and president of the Air Force Association, died Wednesday.", the first Administrator of the General Services Administration and former chairman and president of the Air Force Association
"Frederick S. Fischer, a financial-management consultant, died Saturday of heart disease at his home in Bricktown, N.J.", a financial-management consultant
"Emile Heyrman, former president and chairman of the board of the Belgian Line, died Saturday at St. Charles Hospital in Port Jefferson, L.I.", former president and chairman of the board of the Belgian Line
"Truman Capote will be memorialized at a private service Tuesday and then be cremated, a spokesman for those arranging the services said today.", a spokesman for those arranging the services said today.
"Timothy Healy, a New York City corporate and tax lawyer and longtime member of the Army Reserve, died Sunday at his retirement home in Houston.", a New York City corporate and tax lawyer and longtime member of the Army Reserve
"Shelomo Dov Goitein, a Hebraic and Arabic scholar and an authority on Islamic civilization, died of a heart attack last Wednesday at his home in Princeton, N.J.", a Hebraic and Arabic scholar and an authority on Islamic civilization
"Fred Fox, who brought life to the comic strip ''Freckles and His Friends'' and wrote material for Groucho Marx and other entertainers, died Thursday.", who brought life to the comic strip ''Freckles and His Friends'' and wrote material for Groucho Marx and other entertainers
"Dr. Stafford L. Warren, who was responsible for protecting participants in the development and testing of the first atomic bomb from radiation hazards, died Sunday at his home in Pacific Palisades, Calif., of a heart attack.", who was responsible for protecting participants in the development and testing of the first atomic bomb from radiation hazards
"Charles Chamberlain Woolley, a writer for radio and television, editor and film maker, died after surgery for intestinal cancer on Nov. 5 at St. Vincent's Hospital.", a writer for radio and television
"Loretta Lynn's eldest son, described in the country singer's autobiography as ''the one I feel most sentimental about,'' drowned trying to ford the Duck River on horseback, the authorities said today.", described in the country singer's autobiography as ''the one I feel most sentimental about
"David F. Renwick, manager of staff and labor relations for Reuters North America, whose headquarters are in Manhattan, died of cancer Sunday at the New York University Medical Center.", manager of staff and labor relations for Reuters North America
"ROBERT R. MAYER Robert R. Mayer, professor of social work in the Graduate School of Social Service at Fordham University, died Thursday at the North Shore University Hospital in Manhasset, L.I.", professor of social work in the Graduate School of Social Service at Fordham University
"Jay Novello, the character actor who was a veteran of hundreds of movies and television roles, died of cancer Thursday in Riverside Hospital, North Hollywood.", the character actor who was a veteran of hundreds of movies and television roles
"Donald Kent Brooks, a retired real-estate investment banker, died Friday at his home in Pelham, N.Y.", a retired real-estate investment banker
"John Pratt, a scenic and costume designer for the dance and the theater, died Wednesday at Barnes Hospital in St. Louis.", a scenic and costume designer for the dance and the theater
"Robert W. Woodruff, a college dropout who became the driving force behind the growth of the Coca-Cola Company and built it into an international financial empire, died Thursday at Emory University Hospital.", a college dropout who became the driving force behind the growth of the Coca-Cola Company and built it into an international financial empire
"Christy Brown, the crippled Irish author who wrote by typing with the little toe of his left foot, choked to death Sunday while having dinner at home in Parbrook, a village in Somerset, in western England.", the crippled Irish author who wrote by typing with the little toe of his left foot
"Alexander Paulsen, who built many residential developments in Suffolk County, L.I., after World War II, died Saturday at Winthrop Memorial Hospital in Mineola, L.I.", who built many residential developments in Suffolk County
"Anthony J. (Kid Tony) Sisti, a boxer turned artist who painted President Franklin D. Roosevelt and other well-known people, died Thursday.", a boxer turned artist who painted President Franklin D. Roosevelt and other well-known people
"Hugh Dryfoos, former vice president in charge of sales for the Paper Novelty Manufacturing Company of New York City and Stamford, Conn., a producer of Christmas decorations, died of cancer yesterday at his home in Manhattan.", former vice president in charge of sales for the Paper Novelty Manufacturing Company of New York City and Stamford
"Rear Adm. Malcolm E. Clark, superintendent of the United States Coast Guard Academy, died yesterday afternoon of a heart attack.", superintendent of the United States Coast Guard Academy
"James C. Burge, a film and television actor, died Saturday at his East Side home after respiratory failure due to pneumonia.", a film and television actor
"Dr. Edward J. Hornick Jr., chief of clinical psychiatry at the Manhattan Psychiatric Center on Wards Island, died of cancer Monday at Mount Sinai Medical Center.", chief of clinical psychiatry at the Manhattan Psychiatric Center on Wards Island
"Alvin W. Gouldner, a prominent sociologist, died of a heart attack in Madrid on Dec. 15 as he was completing a lecture tour in Europe, it was learned yesterday.", a prominent sociologist
"John W. Carncross, an agricultural economist and professor emeritus at Rutgers University, died Thursday of a heart ailment at the Jersey Shore Medical Center in Neptune.", an agricultural economist and professor emeritus at Rutgers University
"Dean R. Gidney, president of the Potash Company of America in Manhattan, died of cancer yesterday at St. Vincent's Hospital.", president of the Potash Company of America in Manhattan
"Julius Spector, chief engineer of the New York Department of City Planning, died Tuesday night after suffering a heart attack at his home in Washington Heights.", chief engineer of the New York Department of City Planning
"John M. Lyden, a former vice chairman of Ted Bates and Company, the advertising concern, died at his home in New Canaan, Conn. yesterday after a long illness.", a former vice chairman of Ted Bates and Company
"Dr. Harold C. Syrett, executive editor of the papers of Alexander Hamilton and a former president of Brooklyn College, died of hepatitis yesterday at Columbia Memorial Hospital in Hudson, N.Y.", executive editor of the papers of Alexander Hamilton and a former president of Brooklyn College
"Alfonso Bressan, supervisor of audio operations for the CBS televison network, died Wednesday of lung cancer at Memorial Sloan-Kettering Cancer Center in Manhattan.", supervisor of audio operations for the CBS televison network
"William Balderston, former president and chairman of the Philco Corporation, who was a leader in the development and promotion of the car radio, died July 25 at the Abington, Pa., Memorial Hospital after a short illness.", former president and chairman of the Philco Corporation
"Marshal Nikolai N. Alekseyev, a Deputy Minister of Defense responsible for armaments, died yesterday.", a Deputy Minister of Defense responsible for armaments
"John Hyde Preston, an author whose works included ''Revolution, 1776,'' a myth-debunking examination of the birth of the United States, died of cancer Tuesday in Quebec City.", an author whose works included ''Revolution
"John C. Pemberton, a New York lawyer and a senior director of the Guardian Life Insurance Company of America, on whose board he had served since 1931, died Monday at his home in Manhattan.", a New York lawyer and a senior director of the Guardian Life Insurance Company of America
"Michael Miller, an actor who appeared on Broadway, on television and in the movies, died Wednesday of a heart ailment while on location in Harpers Ferry, W. Va., during the filming of a public television production of ''Pudd'nhead Wilson.''", an actor who appeared on Broadway
"Dr. Samuel F. Thomas, dean of the Hofstra University School of Business, died Sunday night, apparently of a heart attack, shortly after the school's commencement exercises in the John Cranford Adams Playhouse in Hempstead, L.I.", dean of the Hofstra University School of Business
"William Speer, former associate dean for student counseling at the Massachusetts Institute of Technology, died Sunday of respiratory failure in a nursing home in Bryn Mawr, Pa.", former associate dean for student counseling at the Massachusetts Institute of Technology
"Paul S. Willis, a business executive and former president of the Grocery Manufacturers of America, died Friday at the Bayberry Nursing Home in New Rochelle.", a business executive and former president of the Grocery Manufacturers of America
"John L. Sullivan, Secretary of the Navy in the Truman Administration, died Sunday night at Exeter Hospital in Exeter, N.H.", Secretary of the Navy in the Truman Administration
"Dr. Blaise J. Opulente, former vice president for personnel services and secretary of St. John's University in Queens, died of a heart attack Sunday at his home in Garden City, L.I.", former vice president for personnel services and secretary of St. John's University in Queens
"Jackson Burke Krueger, a former executive editor of The Dallas Morning News whose journalism career spanned more than four decades, died of cancer Sunday.", a former executive editor of The Dallas Morning News whose journalism career spanned more than four decades
"Severin Peter Langhoff Jr., a former advertising executive and an international lottery and sports betting consultant, died Monday at Suburban Hospital in Bethesda, Md., after a brief illness.", a former advertising executive and an international lottery and sports betting consultant
"Dr. Barbara Snell Dohrenwend, a social psychologist and epidemiologist who pioneered in studying the relationship between stressful life events and the development of mental illness, died of cancer Monday at the Harkness Pavilion of Columbia-Presbyterian Medical Center.", a social psychologist and epidemiologist who pioneered in studying the relationship between stressful life events and the development of mental illness
"Allan Gerdau, the president of an international trading company who placed a number of newspaper advertisments expressing his opinions on public issues over two decades, died Monday, of complications resulting from a stroke two months ago, at the Glen Hill Convalescent Home in Danbury, Conn.", the president of an international trading company who placed a number of newspaper advertisments expressing his opinions on public issues over two decades
"Prof. Heinrich Winnik, a pioneer of psychoanalysis in Israel, died in Jerusalem last Thursday.", a pioneer of psychoanalysis in Israel
"John Cowles Sr., who built a newspaper empire in Minneapolis and used it to fight for internationalism, education and religious tolerance, died at his home yesterday after a long illness.", who built a newspaper empire in Minneapolis and used it to fight for internationalism
"Peter J. Donoghue, a retired Family Court judge in Queens, died Thursday in North Shore University Hospital in Manhasset, L.I., after a stroke.", a retired Family Court judge in Queens
"Arthur J. Bamford, retired regional director of Management Planning Inc. in Princeton, N.J., a securities evaluation concern, died of a heart attack July 30 at a hospital in Miami.", retired regional director of Management Planning Inc. in Princeton
"J. Richard Eimers, the former exec-utive director of the News Election Service, a cooperative that collects and distributes returns for Presidential, gubernatorial and Congressional elections, died Monday at Bayley Seton Hospital on Staten Island, after a brief illness.", the former exec-utive director of the News Election Service
"James Francis Wright, former executive director of the Delaware River Basin Commission, died of cardiac arrest Tuesday in Santa Rosa, Calif.", former executive director of the Delaware River Basin Commission
"Adrian S. Fisher, a leading arms control negotiator and former dean of the Georgetown University Law Center, died of cancer yesterday at his home in Washington.", a leading arms control negotiator and former dean of the Georgetown University Law Center
"William H. Reumann, who started radio station WWRL-AM in his living room in Woodside, Queens, in 1926 and went on to own three other stations as well, died Thursday at his home in Amityville, L.I.", who started radio station WWRL-AM in his living room in Woodside
"Herbert Michelman, vice president and former editor in chief of Crown Publishers Inc., died of a heart attack Tuesday while on his way to his home in Roslyn Heights, L.I.", vice president and former editor in chief of Crown Publishers Inc.
"The Rev. John Vernon Butler, former dean of the Cathedral of St. John the Divine and rector of Trinity Parish in Manhattan from 1966 to 1971, died yesterday at his home in Montclair, N.J.", former dean of the Cathedral of St. John the Divine and rector of Trinity Parish in Manhattan from 1966 to 1971
"Leonard Wibberley, a journalist and author of more than 100 books, including the comic novel ''The Mouse That Roared,'' died of a heart attack Tuesday in Santa Monica, Calif.", a journalist and author of more than 100 books
"Livingston Parsons, retired vice president of the Central Hanover Bank and Trust Company, died yesterday at the Greenwich (Conn.) Hospital.", retired vice president of the Central Hanover Bank and Trust Company
"Harold L. Renfield, a founder of Renfield Importers Ltd., a leading importer of wine and liquors, died Friday at his home on the Upper East Side after a long illness.", a founder of Renfield Importers Ltd.
"Dr. Alfred Gilman, a leading pharmacologist, died of a heart attack yesterday at his home in New Haven.", a leading pharmacologist
"Jan Farrand, a longtime actress, died of cancer Tuesday at Beth Israel Hospital after a long illness.", a longtime actress
"Samuel Schulman, president of Alixandre Furs Inc. of Manhattan and of Brookdale Hospital Medical Center, died yesterday at Lenox Hill Hospital.", president of Alixandre Furs Inc. of Manhattan and of Brookdale Hospital Medical Center
"Albert W. Sherer Jr., a career diplomat who specialized in Eastern Europe, was thrown out of Hungary at the height of the cold war and went on to write the draft of the human rights provisions of the Helsinki accords of 1975, died of cancer Saturday at Northwestern University Medical Center in Chicago.", a career diplomat who specialized in Eastern Europe
"Joseph Donon, a world-renowned chef who was the last student of the great French master Auguste Escoffier, died yesterday at the Newport Hospital in Rhode Island.", a world-renowned chef who was the last student of the great French master Auguste Escoffier
"Sir Anthony Lewis, the British musicologist and conductor who successfully revived neglected works by Handel, Purcell and Rameau, has died, it was announced Monday.", the British musicologist and conductor who successfully revived neglected works by Handel
"William B. Liebmann, for many years a New York rare book dealer and collector, died of a heart attack Wednesday at Mount Sinai Medical Center.", for many years a New York rare book dealer and collector
"Robert Lawrence, founder and musical director of the Friends of French Opera, died of a brain tumor at St. Luke's Hospital on Sunday.", founder and musical director of the Friends of French Opera
"Harvey S. Perloff, an adviser to President Kennedy on Latin America and the dean of the Graduate School of Architecture and Urban Planning at the University of California at Los Angeles since 1968, died today at the age of 68.", an adviser to President Kennedy on Latin America and the dean of the Graduate School of Architecture and Urban Planning at the University of California at Los Angeles since 1968
"Catherin Baldwin Woodbridge, a teacher and administrator at private schools for girls in Manhattan for 29 years, died Friday at St. Luke's Hospital.", a teacher and administrator at private schools for girls in Manhattan for 29 years
"Diana Rosenblatt, a retired executive with the City University of New York grants program, died yesterday at Mount Sinai Hospital after a long illness.", a retired executive with the City University of New York grants program
"Dr. James E. McCormack, director of the New York Academy of Medicine since 1967, died Tuesday of coronary illness in the Englewood (N.J.) Hospital.", director of the New York Academy of Medicine since 1967
"Sunny Johnson, the actress who portrayed Jennifer Beals's figure-skating friend in the 1983 film ''Flashdance,'' has died from a burst blood vessel in her brain, it was disclosed today.", the actress who portrayed Jennifer Beals's figure-skating friend in the 1983 film ''Flashdance
"Lanfranco Rasponi, a writer on society and the performing arts and a publicity agent for many prominent opera singers, died Saturday at his home in Rio de Janeiro.", a writer on society and the performing arts and a publicity agent for many prominent opera singers
"Norbert L.H. Roesler, an international banker in New York City for more than three decades, died Monday at Roosevelt Hospital.", an international banker in New York City for more than three decades
"Walter R. Vecchio, a freelance photographer whose work appeared in Life and Look magazines, died July 21 at his Manhattan apartment.", a freelance photographer whose work appeared in Life and Look magazines
"Lowell Adi Margolin, a partner in the Manhattan law firm of Gilbert, Segall & Young, died Friday at Memorial Sloan-Kettering Cancer Center.", a partner in the Manhattan law firm of Gilbert
"William E. Phillips, former chief executive officer of the New York State Liquor Authority, died Wednesday of a heart seizure at a hospital in Jupiter, Fla.", former chief executive officer of the New York State Liquor Authority
"Lawrence Betty, 83 years old and believed to be the country's oldest volunteer firefighter, died Wednesday of a skull fracture suffered in a chemical plant fire that had left him ''brain dead'' two days ago.", 83 years old and believed to be the country's oldest volunteer firefighter
"John R. Rague, executive director of the American Movement for World Government, died last Wednesday at his apartment in the Benjamin Franklin Hotel in Manhattan at age 63.", executive director of the American Movement for World Government
"Dr. L. Carrington Goodrich, a leading scholar of the Ming Dynasty and the Dean Lung professor emeritus of Chinese at Columbia University, died of a heart attack Sunday in Yonkers.", a leading scholar of the Ming Dynasty and the Dean Lung professor emeritus of Chinese at Columbia University
"Nicholas Halasz, the author of a book about Alfred Dreyfus, the French army officer wrongly accused of treason, died Tuesday at St. Luke's Hospital.", the author of a book about Alfred Dreyfus
"Theose E. Tillinghast, a former president of the United Aircraft Service Corporation, died Sunday in a nursing home in West Hartford, Conn.", a former president of the United Aircraft Service Corporation
"Maker of Documentary Films Stewart Edward Wilensky, a documentary and commercial film maker, died of cancer last Friday in his home in Santa Monica, Calif.", a documentary and commercial film maker
"Sanders Kahn, head of Sanders A. Kahn Associates, a New York real-estate and financial consulting concern, died of a heart attack Thursday at St. Clare's Hospital.", head of Sanders A. Kahn Associates
"The Rev. Dr. Dwight C. Smith, retired general secretary of the John Milton Society for the Blind, died July 14 at the Pomona Valley Community Hospital in Pomona, Calif.", retired general secretary of the John Milton Society for the Blind
"Abba P. Lerner, an economist who was a prolific author of books and articles on economic theory, inflation and unemployment, died here last Wednesday.", an economist who was a prolific author of books and articles on economic theory
"Antony Tudor, one of the foremost choreographers of the century and widely considered the master of the psychological ballet, died last night of a heart attack at his home in Manhattan.", one of the foremost choreographers of the century and widely considered the master of the psychological ballet
"Antonio G. Olivieri, a Manhattan Councilman at Large whose political career in state and city elective office was marked by vigorous advocacy and liberal positions on health, tenant and environmental issues, died yesterday at his Manhattan home.", a Manhattan Councilman at Large whose political career in state and city elective office was marked by vigorous advocacy and liberal positions on health
"Rafael Mendez, a trumpeter who played for Pancho Villa as a boy in Mexico and went on to appear before presidents and kings, has died of a heart attack.", a trumpeter who played for Pancho Villa as a boy in Mexico and went on to appear before presidents and kings
"David Everett Cromwell, a vice president of Dan River Inc., and president of the textile concern's Cotton Company subsidiary, died of a heart attack Feb. 23 while on a hunting trip in Allendale, S.C.", a vice president of Dan River Inc.
"Theodore Sturgeon, a leading figure in American science fiction, died Wednesday of lung ailments in Eugene, Ore.", a leading figure in American science fiction
"Gina Knee, a painter and etcher, died Sunday at Riverhead (L.I.)", a painter and etcher
"Lieut. Gen. William K. Harrison, who headed the United Nations armistice delegation in the Korean War, died Monday in Bryn Mawr Terrace, a nursing home in Bryn Mawr, Pa.", who headed the United Nations armistice delegation in the Korean War
"Margaret Hamilton, the actress whose role as the cackling Wicked Witch of the West in ''The Wizard of Oz'' unnerved generations of children, died yesterday, apparently of a heart attack, at a nursing home in Salisbury, Conn. She was 82 years old.", the actress whose role as the cackling Wicked Witch of the West in ''The Wizard of Oz'' unnerved generations of children
"Charan Singh, a peasant organizer and leader of the independence movement who in 1979 became India's fifth Prime Minister, died today of complications from a stroke.", a peasant organizer and leader of the independence movement who in 1979 became India's fifth Prime Minister
"Leonid Kogan, the internationally acclaimed Soviet violinist, died Friday, the official Soviet press agency, Tass, announced yesterday.", the internationally acclaimed Soviet violinist
"Taylor Storer, general manager of the New Music Distribution Service, died Thursday in St. Louis after a long illness.", general manager of the New Music Distribution Service
"Carr Collins Jr., a businessman and former diplomat who commanded the United States military escort for the Japanese surrender delegation at the end of World War II, died after a brief illness Tuesday.", a businessman and former diplomat who commanded the United States military escort for the Japanese surrender delegation at the end of World War II
"Zachariah Shuster, a former director of the European office of the American Jewish Committee, died of cancer yesterday at Mount Sinai Hospital.", a former director of the European office of the American Jewish Committee
"Irving Joseph Pozen, a former official of the Job Corps, died Thursday at Suburban Hospital in Bethesda, Md.", a former official of the Job Corps
"Stanley Sebastian Kresge, who with his wife, Dorothy, channeled about $500 million to charitable, civic, religious, social, educational, medical and cultural beneficiaries, died Sunday of a heart attack while driving to a friend's funeral in Detroit.", who with his wife
"Frank D. Doyle, who had served as press secretary for the Police, Fire and Sanitation Departments and for former Mayor Robert F. Wagner, died of cancer Tuesday night at Maimonides Medical Center in Brooklyn.", who had served as press secretary for the Police
"Sara Tucker, widow of the Metropolitan Opera tenor Richard Tucker, died of leukemia Monday at Mount Sinai Hospital.", widow of the Metropolitan Opera tenor Richard Tucker
"Shanley N. Egeth, administrative judge of the Civil Court of New York City and an acting State Supreme Court justice, died Wednesday at his home in Manhattan.", administrative judge of the Civil Court of New York City and an acting State Supreme Court justice
"Arthur H. Elwood, a makeup editor at The New York Times since 1966 and a former associate news editor of The New York Herald Tribune, died yesterday, apparently of a heart attack, while visiting relatives in Stuart, Fla.", a makeup editor at The New York Times since 1966 and a former associate news editor of The New York Herald Tribune
"Dr. Albert H. Aldridge, chief surgeon of gynecology and obstetrics at the Woman's Division of St. Luke's Hospital from 1938 to 1958, died Sunday at Moore Memorial Hospital in Pinehurst, N.C.", chief surgeon of gynecology and obstetrics at the Woman's Division of St. Luke's Hospital from 1938 to 1958
"Chester C. Davis, a New York lawyer who was one of the most influential aides of Howard Hughes, the reclusive billionaire industrialist, died Thursday at his thoroughbred-horse farm in Unadilla, N.Y. Mr. Davis, who also maintained an apartment in New York, was 72 years old.", a New York lawyer who was one of the most influential aides of Howard Hughes
"Wilfrid Pelletier, the Canadian conductor, died yesterday in New York Hospital.", the Canadian conductor
"Carol Sutton, who became the first woman to head the news staff of a major American daily newspaper in her own right, died of cancer yesterday at home in Louisville, Ky. She was 51 years old.", who became the first woman to head the news staff of a major American daily newspaper in her own right
"David Lynch, one of the original members of the Platters singing group formed in the 1950's, died today of cancer at the Veterans Administration Hospital here.", one of the original members of the Platters singing group formed in the 1950's
"John Marshall, former associate director of the humanities and social sciences of the Rockefeller Foundation, died Friday at Norwalk Hospital in Connecticut.", former associate director of the humanities and social sciences of the Rockefeller Foundation
"Oscar Nemon, the Yugoslav-born sculptor who made more than 50 likenesses of Sir Winston Churchill, died Sunday in the John Radcliffe Hospital in Oxford, according to his wife, Patricia Nemon- Stuart.", the Yugoslav-born sculptor who made more than 50 likenesses of Sir Winston Churchill
"The American-born actress Bessie Love, whose career stretched from silent movies to television, died Saturday night at Mount Vernon Hospital, her daughter said today.", whose career stretched from silent movies to television
"Dr. Jerome S. Coles, a physician who was chairman of the trustees of New York University Medical Center, died in his sleep Thursday at his Manhattan apartment.", a physician who was chairman of the trustees of New York University Medical Center
"Charles A. Suter, former president and chairman of the board of the Geigy Chemical Corporation, died in a nursing home in Arlesheim, Switzerland, Sunday.", former president and chairman of the board of the Geigy Chemical Corporation
"Prof. Elias J. Bickerman, a historian and authority on the influence of the Greeks in the Middle East at the time of Jesus and before, died Monday in Tel Aviv, where he was on vacation.", a historian and authority on the influence of the Greeks in the Middle East at the time of Jesus and before
"Ellen Frankfort, the feminist author, died early yesterday at Long Island's Southampton Hospital.", the feminist author
